Country,Index,YF_symbols
South Africa,,
,Top 40 USD Net TRI Index,^JN0U.JO
,JSE - Johannesburg Stock Exchange Domestic Company Index,
Botswana,,
,BSE DCI - Botswana Stock Exchange Domestic Company Index,
,BSE FCI - Botswana Stock Exchange Foreign Company Index,
Zambia,,
,LASI -LuSE All shares Index,
Egypt,,
,EGX 30 Index,^CASE30
Ghana,,
,GSE All-Share Index,
Morocco,,
,MASI index (Moroccan All Shares Index),
,MADEX index (Moroccan Most Active shares Index),
Zimbabwe,,
,Zimbabwe Industrial Index,
,Zimbabwe Mining Index,
Argentina,,
,MERVAL,^MERV
,MERVAL - 12 Companies,M.BA
Brazil,,
,IBOVESPA - Bovespa Index,^BVSP
Canada,,
,S&P/TSX 60,XIU.TO
,S&P/TSX Composite Index,^GSPTSE
,S&P/TSX Venture Composite Index,
Chile,,
,S&P/CLX IPSA,^IPSA
,IPSA,SP-IPSA.SN
,Dow Jones Chile Index,^CLDOW
,FTSE Chile Index,WICHL.FGI
Colombia,,
,IGBC,
,COLCAP,
Haiti,,
Jamaica,,
,JSE - Jamaica Stock Exchange,
Mexico,,
,"IPC - Indice de Precios y Cotizaciones (""Bolsa index"")",^MXX
Peru,,
,SPBLPGPT,
Trinidad and Tobago,,
,TTSE - Trinidad and Tobago Stock Exchange,
United States,,
,DJ - NYSE COMPOSITE,^NYA
,Amex indices,^XAX
,NYSE Arca Major Market Index,^XMI
,CBOE indices,
,BXD - CBOE DJIA BuyWrite Index ,
,BXN - CBOE NASDAQ-100 BuyWrite Index ,
,VXN - CBOE NASDAQ-100 Volatility Index ,
,BXM - CBOE S&P 500 BuyWrite Index ,
,VIX - CBOE Volatility Index,^VIX
,Dow Jones & Company indices,
,Dow Jones Industrial Average,^DJI
,Dow Jones Transportation Average,
,Dow Jones Utility Average,^DJU
,MarketGrader indices,
,Barron's 400 Index[1],^B400
,Nasdaq indices,
,NASDAQ Composite,^IXIC
,NASDAQ-100,
,Russell Indexes (published by Russell Investment Group),
,Russell 3000,^RUA
,Russell 1000,
,Russell Top 200,^RT200
,Russell MidCap,^RMCC
,Russell 2500,^R25I
,Russell Small Cap Completeness,^RSCC
,Standard & Poor's indices,
,"S&P 500 (GSPC, INX, SPX)",^GSPC
,S&P 100,^OEX
